#1:xobs                   2:yobs                    3:zobs                    4:vxobs                   5:vyobs                   6:vzobs                   7:q(AU)                   8:e                       9:i                       10:Omega                  11:omega                  12:M                      
-1.23269819960285008e+08  8.13546133972859830e+07   -1.13154202541130344e+04  -2.04465217366872984e+01  -2.35592106015547564e+01  1.26187710987242045e+01   +7.97929969482928381e-01  +1.85229916482288315e-01  +9.44393708826800804e+00  +1.46640241222797471e+02  +2.55384036569210110e+02  +5.45311637010244183e+01  
-1.23269819960285008e+08  8.13546133972859830e+07   -1.13154202541130344e+04  -2.06846951073069256e+01  -2.34366037143309107e+01  1.35822237424659527e+01   +8.20087281210404306e-01  +1.96508704578281013e-01  +1.30110607790007258e+01  +1.46625885801890064e+02  +2.66935075467348042e+02  +8.31654363451271195e+01  
-1.23269819960285008e+08  8.13546133972859830e+07   -1.13154202541130344e+04  -2.08990511408645929e+01  -2.33262575158294503e+01  1.44493311218335272e+01   +8.39024026218438412e-01  +2.07775948828793744e-01  +1.57559983352760078e+01  +1.46552651166215725e+02  +2.75549736804687996e+02  +1.13849686990929229e+02  
-1.23269819960285008e+08  8.13546133972859830e+07   -1.13154202541130344e+04  -2.11610418485461835e+01  -2.31913899398832228e+01  1.55091290299494506e+01   +8.55206936201896251e-01  +2.31552403409743313e-01  +1.86990614027028528e+01  +1.46451804411001518e+02  +2.84911554409195844e+02  +1.54712506964989217e+02  
-1.23269819960285008e+08  8.13546133972859830e+07   -1.13154202541130344e+04  -2.14468498932897376e+01  -2.30442616752146066e+01  1.66652722024395494e+01   +8.66185277201342751e-01  +2.67405720436418803e-01  +2.15456760256909554e+01  +1.46387912627373311e+02  +2.94604699135873375e+02  +2.00854512506153100e+02  
-1.23269819960285008e+08  8.13546133972859830e+07   -1.13154202541130344e+04  -2.17802926121572220e+01  -2.28726120331012268e+01  1.80141059036780007e+01   +8.77466730720448229e-01  +3.15553976366532096e-01  +2.45108331668074406e+01  +1.46371458866059641e+02  +3.04328520110929276e+02  +2.57015037299069093e+02  
-1.23269819960285008e+08  8.13546133972859830e+07   -1.13154202541130344e+04  -2.22328220163345165e+01  -2.26396589473759207e+01  1.98446659267873216e+01   +8.99963542575942466e-01  +3.85505485798306125e-01  +2.80661686042984009e+01  +1.46469978072994792e+02  +3.12863431493184009e+02  +3.38039310239699375e+02  
-1.23269819960285008e+08  8.13546133972859830e+07   -1.13154202541130344e+04  -2.28282554428835880e+01  -2.23331417293163099e+01  2.22532975361416874e+01   +9.18227311187855277e-01  +5.06150128572566915e-01  +3.20087406560203291e+01  +1.46431663814413184e+02  +3.20950469083364624e+02  +8.68663022003385237e+01  
-1.23269819960285008e+08  8.13546133972859830e+07   -1.13154202541130344e+04  -2.38285835994860307e+01  -2.18181928029761636e+01  2.62997986398570305e+01   +9.23432889099732424e-01  +7.43688792524916931e-01  +3.77496296920561534e+01  +1.46395307092532903e+02  +3.28745817817717125e+02  +2.58010438297160306e+02  
-1.23269819960285008e+08  8.13546133972859830e+07   -1.13154202541130344e+04  -2.80442522594534722e+01  -1.96480508991141178e+01  4.33529104340859703e+01   +9.41576203630830277e-01  +2.16221995252518440e+00  +5.32186905062369249e+01  +1.46527968589943839e+02  +3.39104260278634513e+02  -9.72036680710765609e+02  
-1.23269819960285008e+08  8.13546133972859830e+07   -1.13154202541130344e+04  -1.61767189506387652e+01  -2.28366151921956799e+01  1.28318881560246201e+01   +7.43094867295221340e-01  +1.58079211000625414e-01  +1.10292717382786929e+01  +1.46444567075032239e+02  +2.24082115951098729e+02  +3.50690150960021242e+02  
